year,race,gest_weeks,births,deaths
2003,Non-Hispanic Black,17,128,106
2003,Non-Hispanic Black,18,203,177
2003,Non-Hispanic Black,19,336,277
2003,Non-Hispanic Black,20,505,411
2003,Non-Hispanic Black,21,671,540
2003,Non-Hispanic Black,22,819,633
2003,Non-Hispanic Black,23,1051,656
2003,Non-Hispanic Black,24,1321,571
2003,Non-Hispanic Black,25,1427,381
2003,Non-Hispanic Black,26,1626,315
2003,Non-Hispanic Black,27,1728,234
2003,Non-Hispanic Black,28,1924,171
2003,Non-Hispanic Black,29,2195,166
2003,Non-Hispanic Black,30,2877,147
2003,Non-Hispanic Black,31,3955,143
2003,Non-Hispanic Black,32,5369,115
2003,Non-Hispanic Black,33,7986,118
2003,Non-Hispanic Black,34,13067,171
2003,Non-Hispanic Black,35,19950,156
2003,Non-Hispanic Black,36,32069,203
2003,Non-Hispanic Black,37,57292,299
2003,Non-Hispanic Black,38,101187,420
2003,Non-Hispanic Black,39,129155,463
2003,Non-Hispanic Black,40,101274,324
2003,Non-Hispanic Black,41,46454,180
2003,Non-Hispanic Black,42,16548,71
2003,Non-Hispanic Black,43,9256,29
2003,Non-Hispanic Black,44,4596,31
2003,Non-Hispanic Black,45,2353,9
2003,Non-Hispanic Black,46,1165,11
2003,Non-Hispanic Black,47,751,11
2003,Non-Hispanic White,17,103,80
2003,Non-Hispanic White,18,214,184
2003,Non-Hispanic White,19,296,255
2003,Non-Hispanic White,20,486,418
2003,Non-Hispanic White,21,695,621
2003,Non-Hispanic White,22,939,779
2003,Non-Hispanic White,23,1133,764
2003,Non-Hispanic White,24,1536,735
2003,Non-Hispanic White,25,1774,552
2003,Non-Hispanic White,26,2116,428
2003,Non-Hispanic White,27,2672,412
2003,Non-Hispanic White,28,3246,331
2003,Non-Hispanic White,29,4047,252
2003,Non-Hispanic White,30,5711,261
2003,Non-Hispanic White,31,8024,272
2003,Non-Hispanic White,32,12016,253
2003,Non-Hispanic White,33,18687,261
2003,Non-Hispanic White,34,32615,361
2003,Non-Hispanic White,35,55822,396
2003,Non-Hispanic White,36,102787,547
2003,Non-Hispanic White,37,203869,726
2003,Non-Hispanic White,38,425938,1083
2003,Non-Hispanic White,39,581275,1110
2003,Non-Hispanic White,40,469255,897
2003,Non-Hispanic White,41,224387,441
2003,Non-Hispanic White,42,71638,180
