year,race,gestational_age_group,ucod,deaths,births
2003,Non-Hispanic Black,28-31 weeks,A410,1,10951
2003,Non-Hispanic Black,28-31 weeks,A415,2,10951
2003,Non-Hispanic Black,28-31 weeks,A419,16,10951
2003,Non-Hispanic Black,28-31 weeks,A492,1,10951
2003,Non-Hispanic Black,28-31 weeks,A498,1,10951
2003,Non-Hispanic Black,28-31 weeks,B009,1,10951
2003,Non-Hispanic Black,28-31 weeks,B259,2,10951
2003,Non-Hispanic Black,28-31 weeks,B348,2,10951
2003,Non-Hispanic Black,28-31 weeks,B375,1,10951
2003,Non-Hispanic Black,28-31 weeks,B377,2,10951
2003,Non-Hispanic Black,28-31 weeks,B49,2,10951
2003,Non-Hispanic Black,28-31 weeks,C467,1,10951
2003,Non-Hispanic Black,28-31 weeks,D479,1,10951
2003,Non-Hispanic Black,28-31 weeks,E274,1,10951
2003,Non-Hispanic Black,28-31 weeks,G008,1,10951
2003,Non-Hispanic Black,28-31 weeks,G009,1,10951
2003,Non-Hispanic Black,28-31 weeks,G039,3,10951
2003,Non-Hispanic Black,28-31 weeks,G419,1,10951
2003,Non-Hispanic Black,28-31 weeks,G931,3,10951
2003,Non-Hispanic Black,28-31 weeks,G934,1,10951
2003,Non-Hispanic Black,28-31 weeks,G935,1,10951
2003,Non-Hispanic Black,28-31 weeks,I269,1,10951
2003,Non-Hispanic Black,28-31 weeks,I272,6,10951
2003,Non-Hispanic Black,28-31 weeks,I313,1,10951
2003,Non-Hispanic Black,28-31 weeks,I429,2,10951
2003,Non-Hispanic Black,28-31 weeks,I499,1,10951
2003,Non-Hispanic Black,28-31 weeks,I500,1,10951
2003,Non-Hispanic Black,28-31 weeks,I509,1,10951
2003,Non-Hispanic Black,28-31 weeks,I514,2,10951
2003,Non-Hispanic Black,28-31 weeks,I518,1,10951
2003,Non-Hispanic Black,28-31 weeks,I639,1,10951
2003,Non-Hispanic Black,28-31 weeks,I891,1,10951
2003,Non-Hispanic Black,28-31 weeks,J101,1,10951
2003,Non-Hispanic Black,28-31 weeks,J129,1,10951
2003,Non-Hispanic Black,28-31 weeks,J14,1,10951
2003,Non-Hispanic Black,28-31 weeks,J150,1,10951
2003,Non-Hispanic Black,28-31 weeks,J159,1,10951
2003,Non-Hispanic Black,28-31 weeks,J180,2,10951
2003,Non-Hispanic Black,28-31 weeks,J189,2,10951
2003,Non-Hispanic Black,28-31 weeks,J210,1,10951
2003,Non-Hispanic Black,28-31 weeks,J841,1,10951
2003,Non-Hispanic Black,28-31 weeks,J961,1,10951
2003,Non-Hispanic Black,28-31 weeks,J969,1,10951
2003,Non-Hispanic Black,28-31 weeks,J984,11,10951
2003,Non-Hispanic Black,28-31 weeks,J988,1,10951
2003,Non-Hispanic Black,28-31 weeks,K254,1,10951
2003,Non-Hispanic Black,28-31 weeks,K409,1,10951
2003,Non-Hispanic Black,28-31 weeks,K529,1,10951
2003,Non-Hispanic Black,28-31 weeks,K550,22,10951
2003,Non-Hispanic Black,28-31 weeks,K638,2,10951
2003,Non-Hispanic Black,28-31 weeks,K729,1,10951
2003,Non-Hispanic Black,28-31 weeks,K767,1,10951
2003,Non-Hispanic Black,28-31 weeks,K768,1,10951
2003,Non-Hispanic Black,28-31 weeks,K902,2,10951
2003,Non-Hispanic Black,28-31 weeks,M246,1,10951
2003,Non-Hispanic Black,28-31 weeks,N179,3,10951
2003,Non-Hispanic Black,28-31 weeks,N19,2,10951
2003,Non-Hispanic Black,28-31 weeks,P000,2,10951
2003,Non-Hispanic Black,28-31 weeks,P001,1,10951
2003,Non-Hispanic Black,28-31 weeks,P010,2,10951
2003,Non-Hispanic Black,28-31 weeks,P011,12,10951
2003,Non-Hispanic Black,28-31 weeks,P012,8,10951
2003,Non-Hispanic Black,28-31 weeks,P013,1,10951
2003,Non-Hispanic Black,28-31 weeks,P015,6,10951
2003,Non-Hispanic Black,28-31 weeks,P016,1,10951
2003,Non-Hispanic Black,28-31 weeks,P021,11,10951
2003,Non-Hispanic Black,28-31 weeks,P027,5,10951
2003,Non-Hispanic Black,28-31 weeks,P031,1,10951
2003,Non-Hispanic Black,28-31 weeks,P044,1,10951
2003,Non-Hispanic Black,28-31 weeks,P059,4,10951
2003,Non-Hispanic Black,28-31 weeks,P072,28,10951
2003,Non-Hispanic Black,28-31 weeks,P073,11,10951
2003,Non-Hispanic Black,28-31 weeks,P112,1,10951
2003,Non-Hispanic Black,28-31 weeks,P209,2,10951
2003,Non-Hispanic Black,28-31 weeks,P210,1,10951
2003,Non-Hispanic Black,28-31 weeks,P219,9,10951
2003,Non-Hispanic Black,28-31 weeks,P220,14,10951
2003,Non-Hispanic Black,28-31 weeks,P232,1,10951
2003,Non-Hispanic Black,28-31 weeks,P239,1,10951
2003,Non-Hispanic Black,28-31 weeks,P250,2,10951
2003,Non-Hispanic Black,28-31 weeks,P251,3,10951
2003,Non-Hispanic Black,28-31 weeks,P269,7,10951
2003,Non-Hispanic Black,28-31 weeks,P271,19,10951
2003,Non-Hispanic Black,28-31 weeks,P279,2,10951
2003,Non-Hispanic Black,28-31 weeks,P280,12,10951
2003,Non-Hispanic Black,28-31 weeks,P281,1,10951
2003,Non-Hispanic Black,28-31 weeks,P285,1,10951
2003,Non-Hispanic Black,28-31 weeks,P290,5,10951
2003,Non-Hispanic Black,28-31 weeks,P291,12,10951
2003,Non-Hispanic Black,28-31 weeks,P293,1,10951
2003,Non-Hispanic Black,28-31 weeks,P298,1,10951
2003,Non-Hispanic Black,28-31 weeks,P351,1,10951
2003,Non-Hispanic Black,28-31 weeks,P352,3,10951
2003,Non-Hispanic Black,28-31 weeks,P360,3,10951
2003,Non-Hispanic Black,28-31 weeks,P361,1,10951
2003,Non-Hispanic Black,28-31 weeks,P362,1,10951
2003,Non-Hispanic Black,28-31 weeks,P363,1,10951
2003,Non-Hispanic Black,28-31 weeks,P368,4,10951
2003,Non-Hispanic Black,28-31 weeks,P369,37,10951
2003,Non-Hispanic Black,28-31 weeks,P375,1,10951
2003,Non-Hispanic Black,28-31 weeks,P399,2,10951
2003,Non-Hispanic Black,28-31 weeks,P523,11,10951
2003,Non-Hispanic Black,28-31 weeks,P524,2,10951
2003,Non-Hispanic Black,28-31 weeks,P529,4,10951
2003,Non-Hispanic Black,28-31 weeks,P60,1,10951
2003,Non-Hispanic Black,28-31 weeks,P610,1,10951
2003,Non-Hispanic Black,28-31 weeks,P614,1,10951
2003,Non-Hispanic Black,28-31 weeks,P749,1,10951
2003,Non-Hispanic Black,28-31 weeks,P77,47,10951
2003,Non-Hispanic Black,28-31 weeks,P780,2,10951
