year,cdc_imr_black,cdc_imr_white,source
2003,13.60,5.70,NVSR Table B
2004,13.60,5.66,NVSR Table B
2005,13.63,5.76,NVSR 57(2) Table B
2006,13.35,5.58,NVSR Table B
2007,13.31,5.63,NVSR Table B
2008,12.67,5.52,NVSR 60(5)
2009,12.40,5.33,NVSR Table B
2010,11.46,5.18,NVSR Table B
2011,11.45,5.07,Health US 2019
2012,11.19,5.04,Health US 2019
2013,11.11,5.06,Health US 2019
2014,10.93,4.89,Health US 2019
2015,11.25,4.90,Health US 2019
2016,11.21,4.87,Health US 2019
2017,10.88,4.69,Health US 2019
2018,10.62,4.68,Health US 2019
2019,10.62,4.49,NVSR 70(14)
2020,10.38,4.40,NVSR 71(5)
2021,10.55,4.36,NVSR 72(11)
2022,10.90,4.52,NVSR 73(5)
2023,10.93,4.48,NVSR 74(7)
