year,file_type,total_records,excluded_race,excluded_race_unknown,excluded_hispanic_unknown,excluded_ga,excluded_implausible_bwt_ga,excluded_bwt_missing,excluded_bwt_low,excluded_bwt_high,included
2003,births,4096151,1197656,0,25599,16310,9179,0,241,8938,2873006
2004,births,4118951,1242755,0,29324,15721,9413,0,255,9158,2851062
2005,births,4145883,1281489,0,27048,11554,9346,0,256,9090,2843494
2006,births,4273264,1346580,0,26203,10106,9952,0,290,9662,2906626
2007,births,4324008,1385835,0,27027,3619,10710,0,291,10419,2923844
2008,births,4255188,1363691,0,28472,3331,10176,0,373,9803,2877990
2009,births,4137836,1315019,0,25275,3217,9349,0,267,9082,2810251
2010,births,4007105,1253928,0,23588,2856,9129,0,211,8918,2741192
2011,births,3961220,1231384,0,23215,3209,8988,0,219,8769,2717639
2012,births,3960796,1242312,0,25787,2506,9312,0,215,9097,2706666
2013,births,3940764,1226558,0,23676,2210,9383,0,242,9141,2702613
2014,births,3998175,1400656,97216,0,1624,8840,0,169,8671,2587055
2015,births,3988733,1372877,50903,0,1606,8982,0,190,8792,2605268
2016,births,3956112,1339566,0,0,1925,10954,2033,173,8748,2603667
2017,births,3864781,1310150,0,0,1507,9881,931,163,8787,2543243
2018,births,3801534,1291643,0,0,1318,9600,1023,144,8433,2498973
2019,births,3757582,1291829,0,0,1260,10356,1325,187,8844,2454137
2020,births,3619826,1245629,0,0,1319,9016,808,140,8068,2363862
2021,births,3669928,1263546,0,0,1629,7727,10,169,7548,2397026
2022,births,3676029,1322912,0,0,1350,7762,149,145,7468,2344005
2023,births,3605081,1325495,0,0,1243,7322,4,143,7175,2271021
2024,births,3638436,1380761,0,0,2516,7073,22,149,6902,2248086
2003,deaths,27727,6836,0,403,351,207,0,79,128,20333
2004,deaths,27612,6900,0,381,320,221,0,72,149,20171
2005,deaths,28101,7200,0,351,301,236,0,96,140,20364
2006,deaths,28174,7270,0,353,246,223,0,100,123,20435
2007,deaths,28715,7616,0,360,182,208,0,79,129,20709
2008,deaths,27748,7554,0,383,162,216,0,102,114,19816
2009,deaths,26076,6942,0,336,152,206,0,94,112,18776
2010,deaths,24292,6518,0,295,125,159,0,72,87,17490
2011,deaths,23723,6329,0,323,152,173,0,78,95,17069
2012,deaths,23444,6296,0,312,148,151,0,55,96,16849
2013,deaths,23242,6115,0,354,150,177,0,78,99,16800
2014,deaths,23085,6874,348,19,123,158,0,70,88,15930
2015,deaths,23347,7013,275,0,138,143,0,64,79,16053
2016,deaths,23079,6822,17,0,155,169,7,80,82,15933
2017,deaths,22280,6851,0,0,167,128,8,67,53,15134
2018,deaths,21390,6464,0,0,114,162,5,76,81,14650
2019,deaths,20814,6454,0,0,105,176,4,82,90,14079
2020,deaths,19475,5928,0,0,114,124,2,56,66,13309
2021,deaths,19728,6145,0,0,123,156,3,79,74,13304
2022,deaths,20334,6580,0,0,108,145,6,68,71,13501
2023,deaths,19947,6687,0,0,128,142,2,71,69,12990
2024,deaths,19836,6880,0,0,141,126,7,58,61,12689
